source_file,model,num_samples,seq_len,batch_size,layers,op_types,experiment,layer,variant,param,recall_mean,recall_P50,recall_P90,recall_P99,recall_weighted_mean,new_mass_ratio_mean,num_pairs,replacement_mean,replacement_P90,replacement_P99,H_size,recall_P10,recall_P25,recall_min,hot_value_ratio,residual_K,gini,num_ever_active,sublibrary_size_mean,sublibrary_ratio,cross_route_recall,cross_route_gap,cluster_size_mean,cluster_size_min,cluster_size_max,candidate_size_mean,candidate_ratio_mean,actual_seed_count_mean,recall_train_table,cv_gap
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.qkv_proj,topK,m=64,0.7029441042189029,0.6875,0.8671875,0.984375,0.8485544323921204,0.7402945756912231,1308160,101.99516878669276,120.0,126.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.qkv_proj,topK,m=128,1.0,1.0,1.0,1.0,1.0,0.7402945756912231,1308160,101.99516878669276,120.0,126.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.qkv_proj,topL_1.5,m=0,0.24381303581939517,0.2265625,0.4375,0.5703125,0.29450756311416626,0.7054924368858337,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.qkv_proj,topL_2.0,m=0,0.27544549691933706,0.2578125,0.484375,0.625,0.3212937116622925,0.6787062883377075,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.qkv_proj,union2,m=0,0.25793724582619865,0.25,0.4296875,0.546875,0.3127059042453766,0.687294065952301,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topK,m=0,0.3710726444968505,0.375,0.5625,0.6796875,0.4545189440250397,0.5454810857772827,1308160,80.50270150440313,105.0,119.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topK,m=4,0.402322286169123,0.40625,0.59375,0.7109375,0.5317447781562805,0.5454810857772827,1308160,80.50270150440313,105.0,119.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topK,m=8,0.43357192784139553,0.4375,0.625,0.7421875,0.5787540078163147,0.5454810857772827,1308160,80.50270150440313,105.0,119.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topK,m=16,0.49607120521381176,0.5,0.6875,0.8046875,0.6502084136009216,0.5454810857772827,1308160,80.50270150440313,105.0,119.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topK,m=32,0.6210307201527336,0.625,0.8125,0.9296875,0.7585265040397644,0.5454810857772827,1308160,80.50270150440313,105.0,119.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topK,m=64,0.8566374060225813,0.875,1.0,1.0,0.9168350100517273,0.5454810857772827,1308160,80.50270150440313,105.0,119.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topK,m=128,1.0,1.0,1.0,1.0,1.0,0.5454810857772827,1308160,80.50270150440313,105.0,119.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topL_1.5,m=0,0.43406135574012356,0.4375,0.6484375,0.78125,0.5080799460411072,0.4919200539588928,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,topL_2.0,m=0,0.4758676248987127,0.484375,0.703125,0.828125,0.5431755185127258,0.45682448148727417,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.7.self_attn.o_proj,union2,m=0,0.4386409334007308,0.4453125,0.625,0.7421875,0.5189176201820374,0.48108240962028503,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topK,m=0,0.25387186845454685,0.25,0.4140625,0.53125,0.3048687279224396,0.695131242275238,1308160,95.50440083781801,115.0,124.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topK,m=4,0.28512151012681936,0.28125,0.4453125,0.5625,0.40700563788414,0.695131242275238,1308160,95.50440083781801,115.0,124.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topK,m=8,0.31637115179909187,0.3125,0.4765625,0.59375,0.46213072538375854,0.695131242275238,1308160,95.50440083781801,115.0,124.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topK,m=16,0.3788704351436369,0.375,0.5390625,0.65625,0.5416209697723389,0.695131242275238,1308160,95.50440083781801,115.0,124.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topK,m=32,0.5038689062786662,0.5,0.6640625,0.78125,0.6612112522125244,0.695131242275238,1308160,95.50440083781801,115.0,124.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topK,m=64,0.7530437193271465,0.75,0.9140625,1.0,0.8464595079421997,0.695131242275238,1308160,95.50440083781801,115.0,124.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topK,m=128,1.0,1.0,1.0,1.0,1.0,0.695131242275238,1308160,95.50440083781801,115.0,124.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topL_1.5,m=0,0.30914589122316843,0.3046875,0.4921875,0.6328125,0.35272061824798584,0.6472793817520142,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,topL_2.0,m=0,0.3517673499896802,0.3515625,0.5546875,0.6953125,0.3890705406665802,0.6109294891357422,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.mlp.gate_up_proj,union2,m=0,0.3167347111114084,0.3125,0.484375,0.609375,0.36577388644218445,0.6342261433601379,1308160,,,,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topK,m=0,0.2593862455185146,0.25,0.40625,0.53125,0.3605734407901764,0.639426589012146,1308160,94.79856057363014,113.0,121.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topK,m=4,0.29063588719078703,0.28125,0.4375,0.5625,0.45065683126449585,0.639426589012146,1308160,94.79856057363014,113.0,121.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topK,m=8,0.32188552886305954,0.3125,0.46875,0.59375,0.5011118650436401,0.639426589012146,1308160,94.79856057363014,113.0,121.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topK,m=16,0.38438481220760456,0.375,0.53125,0.65625,0.5754920840263367,0.639426589012146,1308160,94.79856057363014,113.0,121.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topK,m=32,0.5093832475098612,0.5,0.65625,0.78125,0.6874197125434875,0.639426589012146,1308160,94.79856057363014,113.0,121.0,,,,,,,,,,,,,,,,,,,,
results/activation_patterns/incremental/incremental_results.json,/root/models/Qwen3-0.6B,2560,512,4,"7,14","mlp,qkv,o",incremental,layers.14.self_attn.qkv_proj,topK,m=64,0.7586218787266084,0.75,0.90625,1.0,0.8592661619186401,0.639426589012146,1308160,94.79856057363014,113.0,121.0,,,,,,,,,,,,,,,,,,,,
